seriesID,date,value
CUURA316SAR,November-2012,110.978
CUURA316SAR,January-2013,110.641
CUURA316SAR,March-2013,109.518
CUURA316SAR,May-2013,110.428
CUURA316SAR,July-2013,111.775
CUURA316SAR,September-2013,111.778
CUURA316SAR,November-2013,111.103
CUURA316SAR,January-2014,111.965
CUURA316SAR,March-2014,112.956
CUURA316SAR,May-2014,113.494
CUURA316SAR,July-2014,111.236
CUURA316SAR,September-2014,111.188
CUURA316SAR,November-2014,111.302
CUURA316SAR,January-2015,112.462
CUURA316SAR,March-2015,111.830
CUURA316SAT,January-2010,193.308
CUURA316SAT,March-2010,195.190
CUURA316SAT,May-2010,198.412
CUURA316SAT,July-2010,194.272
CUURA316SAT,September-2010,193.715
CUURA316SAT,November-2010,198.083
CUURA316SAT,January-2011,206.101
CUURA316SAT,March-2011,216.986
CUURA316SAT,May-2011,225.591
CUURA316SAT,July-2011,221.827
CUURA316SAT,September-2011,217.873
CUURA316SAT,November-2011,214.239
CUURA316SAT,January-2012,215.657
CUURA316SAT,March-2012,229.754
CUURA316SAT,May-2012,227.080
CUURA316SAT,July-2012,219.503
CUURA316SAT,September-2012,228.312
CUURA316SAT,November-2012,216.665
CUURA316SAT,January-2013,219.398
CUURA316SAT,March-2013,229.883
CUURA316SAT,May-2013,226.600
CUURA316SAT,July-2013,232.225
CUURA316SAT,September-2013,226.168
CUURA316SAT,November-2013,217.671
CUURA316SAT,January-2014,219.292
CUURA316SAT,March-2014,224.790
CUURA316SAT,May-2014,227.200
CUURA316SAT,July-2014,225.938
CUURA316SAT,September-2014,219.845
CUURA316SAT,November-2014,210.720
CUURA316SAT,January-2015,193.314
CUURA316SAT,March-2015,201.044
