seriesID,date,CPI
CUUR0000SA0,05-1996,156.6
CUUR0000SA0,06-1996,156.7
CUUR0000SA0,07-1996,157
CUUR0000SA0,08-1996,157.3
CUUR0000SA0,09-1996,157.8
CUUR0000SA0,10-1996,158.3
CUUR0000SA0,11-1996,158.6
CUUR0000SA0,12-1996,158.6
CUUR0000SA0,01-1997,159.1
CUUR0000SA0,02-1997,159.6
CUUR0000SA0,03-1997,160
CUUR0000SA0,04-1997,160.2
CUUR0000SA0,05-1997,160.1
CUUR0000SA0,06-1997,160.3
CUUR0000SA0,07-1997,160.5
CUUR0000SA0,08-1997,160.8
CUUR0000SA0,09-1997,161.2
CUUR0000SA0,10-1997,161.6
CUUR0000SA0,11-1997,161.5
CUUR0000SA0,12-1997,161.3
CUUR0000SA0,01-1998,161.6
CUUR0000SA0,02-1998,161.9
CUUR0000SA0,03-1998,162.2
CUUR0000SA0,04-1998,162.5
CUUR0000SA0,05-1998,162.8
CUUR0000SA0,06-1998,163
CUUR0000SA0,07-1998,163.2
CUUR0000SA0,08-1998,163.4
CUUR0000SA0,09-1998,163.6
CUUR0000SA0,10-1998,164
CUUR0000SA0,11-1998,164
CUUR0000SA0,12-1998,163.9
CUUR0000SA0,01-1999,164.3
CUUR0000SA0,02-1999,164.5
CUUR0000SA0,03-1999,165
CUUR0000SA0,04-1999,166.2
CUUR0000SA0,05-1999,166.2
CUUR0000SA0,06-1999,166.2
CUUR0000SA0,07-1999,166.7
CUUR0000SA0,08-1999,167.1
CUUR0000SA0,09-1999,167.9
CUUR0000SA0,10-1999,168.2
CUUR0000SA0,11-1999,168.3
CUUR0000SA0,12-1999,168.3
CUUR0000SA0,01-2000,168.8
CUUR0000SA0,02-2000,169.8
CUUR0000SA0,03-2000,171.2
CUUR0000SA0,04-2000,171.3
CUUR0000SA0,05-2000,171.5
CUUR0000SA0,06-2000,172.4
CUUR0000SA0,07-2000,172.8
CUUR0000SA0,08-2000,172.8
CUUR0000SA0,09-2000,173.7
CUUR0000SA0,10-2000,174
CUUR0000SA0,11-2000,174.1
CUUR0000SA0,12-2000,174
CUUR0000SA0,01-2001,175.1
CUUR0000SA0,02-2001,175.8
CUUR0000SA0,03-2001,176.2
CUUR0000SA0,04-2001,176.9
CUUR0000SA0,05-2001,177.7
CUUR0000SA0,06-2001,178
CUUR0000SA0,07-2001,177.5
CUUR0000SA0,08-2001,177.5
CUUR0000SA0,09-2001,178.3
CUUR0000SA0,10-2001,177.7
CUUR0000SA0,11-2001,177.4
CUUR0000SA0,12-2001,176.7
CUUR0000SA0,01-2002,177.1
CUUR0000SA0,02-2002,177.8
CUUR0000SA0,03-2002,178.8
CUUR0000SA0,04-2002,179.8
CUUR0000SA0,05-2002,179.8
CUUR0000SA0,06-2002,179.9
CUUR0000SA0,07-2002,180.1
CUUR0000SA0,08-2002,180.7
CUUR0000SA0,09-2002,181
CUUR0000SA0,10-2002,181.3
CUUR0000SA0,11-2002,181.3
CUUR0000SA0,12-2002,180.9
CUUR0000SA0,01-2003,181.7
CUUR0000SA0,02-2003,183.1
CUUR0000SA0,03-2003,184.2
CUUR0000SA0,04-2003,183.8
CUUR0000SA0,05-2003,183.5
CUUR0000SA0,06-2003,183.7
CUUR0000SA0,07-2003,183.9
CUUR0000SA0,08-2003,184.6
CUUR0000SA0,09-2003,185.2
CUUR0000SA0,10-2003,185
CUUR0000SA0,11-2003,184.5
CUUR0000SA0,12-2003,184.3
CUUR0000SA0,01-2004,185.2
CUUR0000SA0,02-2004,186.2
CUUR0000SA0,03-2004,187.4
CUUR0000SA0,04-2004,188
CUUR0000SA0,05-2004,189.1
CUUR0000SA0,06-2004,189.7
CUUR0000SA0,07-2004,189.4
CUUR0000SA0,08-2004,189.5
CUUR0000SA0,09-2004,189.9
CUUR0000SA0,10-2004,190.9
CUUR0000SA0,11-2004,191
CUUR0000SA0,12-2004,190.3
CUUR0000SA0,01-2005,190.7
CUUR0000SA0,02-2005,191.8
CUUR0000SA0,03-2005,193.3
CUUR0000SA0,04-2005,194.6
CUUR0000SA0,05-2005,194.4
CUUR0000SA0,06-2005,194.5
CUUR0000SA0,07-2005,195.4
CUUR0000SA0,08-2005,196.4
CUUR0000SA0,09-2005,198.8
CUUR0000SA0,10-2005,199.2
CUUR0000SA0,11-2005,197.6
CUUR0000SA0,12-2005,196.8
CUUR0000SA0,01-2006,198.3
CUUR0000SA0,02-2006,198.7
CUUR0000SA0,03-2006,199.8
CUUR0000SA0,04-2006,201.5
CUUR0000SA0,05-2006,202.5
CUUR0000SA0,06-2006,202.9
CUUR0000SA0,07-2006,203.5
CUUR0000SA0,08-2006,203.9
CUUR0000SA0,09-2006,202.9
CUUR0000SA0,10-2006,201.8
CUUR0000SA0,11-2006,201.5
CUUR0000SA0,12-2006,201.8
CUUR0000SA0,01-2007,202.416
CUUR0000SA0,02-2007,203.499
CUUR0000SA0,03-2007,205.352
CUUR0000SA0,04-2007,206.686
CUUR0000SA0,05-2007,207.949
CUUR0000SA0,06-2007,208.352
CUUR0000SA0,07-2007,208.299
CUUR0000SA0,08-2007,207.917
CUUR0000SA0,09-2007,208.49
CUUR0000SA0,10-2007,208.936
CUUR0000SA0,11-2007,210.177
CUUR0000SA0,12-2007,210.036
CUUR0000SA0,01-2008,211.08
CUUR0000SA0,02-2008,211.693
CUUR0000SA0,03-2008,213.528
CUUR0000SA0,04-2008,214.823
CUUR0000SA0,05-2008,216.632
CUUR0000SA0,06-2008,218.815
CUUR0000SA0,07-2008,219.964
CUUR0000SA0,08-2008,219.086
CUUR0000SA0,09-2008,218.783
CUUR0000SA0,10-2008,216.573
CUUR0000SA0,11-2008,212.425
CUUR0000SA0,12-2008,210.228
CUUR0000SA0,01-2009,211.143
CUUR0000SA0,02-2009,212.193
CUUR0000SA0,03-2009,212.709
CUUR0000SA0,04-2009,213.24
CUUR0000SA0,05-2009,213.856
CUUR0000SA0,06-2009,215.693
CUUR0000SA0,07-2009,215.351
CUUR0000SA0,08-2009,215.834
CUUR0000SA0,09-2009,215.969
CUUR0000SA0,10-2009,216.177
CUUR0000SA0,11-2009,216.33
CUUR0000SA0,12-2009,215.949
CUUR0000SA0,01-2010,216.687
CUUR0000SA0,02-2010,216.741
CUUR0000SA0,03-2010,217.631
CUUR0000SA0,04-2010,218.009
CUUR0000SA0,05-2010,218.178
CUUR0000SA0,06-2010,217.965
CUUR0000SA0,07-2010,218.011
CUUR0000SA0,08-2010,218.312
CUUR0000SA0,09-2010,218.439
CUUR0000SA0,10-2010,218.711
CUUR0000SA0,11-2010,218.803
CUUR0000SA0,12-2010,219.179
CUUR0000SA0,01-2011,220.223
CUUR0000SA0,02-2011,221.309
CUUR0000SA0,03-2011,223.467
CUUR0000SA0,04-2011,224.906
CUUR0000SA0,05-2011,225.964
CUUR0000SA0,06-2011,225.722
CUUR0000SA0,07-2011,225.922
CUUR0000SA0,08-2011,226.545
CUUR0000SA0,09-2011,226.889
CUUR0000SA0,10-2011,226.421
CUUR0000SA0,11-2011,226.23
CUUR0000SA0,12-2011,225.672
CUUR0000SA0,01-2012,226.665
CUUR0000SA0,02-2012,227.663
CUUR0000SA0,03-2012,229.392
CUUR0000SA0,04-2012,230.085
CUUR0000SA0,05-2012,229.815
CUUR0000SA0,06-2012,229.478
CUUR0000SA0,07-2012,229.104
CUUR0000SA0,08-2012,230.379
CUUR0000SA0,09-2012,231.407
CUUR0000SA0,10-2012,231.317
CUUR0000SA0,11-2012,230.221
CUUR0000SA0,12-2012,229.601
CUUR0000SA0,01-2013,230.28
CUUR0000SA0,02-2013,232.166
CUUR0000SA0,03-2013,232.773
CUUR0000SA0,04-2013,232.531
CUUR0000SA0,05-2013,232.945
CUUR0000SA0,06-2013,233.504
CUUR0000SA0,07-2013,233.596
CUUR0000SA0,08-2013,233.877
CUUR0000SA0,09-2013,234.149
CUUR0000SA0,10-2013,233.546
CUUR0000SA0,11-2013,233.069
CUUR0000SA0,12-2013,233.049
CUUR0000SA0,01-2014,233.916
CUUR0000SA0,02-2014,234.781
CUUR0000SA0,03-2014,236.293
CUUR0000SA0,04-2014,237.072
